Species number,lat,lon,Distribution point,Shape_Leng,Shape_Area
1,34.73421,101.61649,"Henan Mongolian Autonomous County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China",10093966.1,3.08344E+12
2,36.661295,101.798976,"Caijiabao Township, Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China",10093966.1,3.08344E+12
3,36.873167,101.855632,"Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China",10093966.1,3.08344E+12
4,35.270702,101.933372,"Zeku County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China",10093966.1,3.08344E+12
5,30.066271,101.968918,"Lucheng Town, Kangding City, Ganzi Tibetan Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
6,36.5243,102.03598,"Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China",10093966.1,3.08344E+12
8,31.895631,102.210102,"Markang City, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
10,29.912835,102.251473,"Luqiao Town, Luding County, Ganzi Tibetan Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
11,32.772409,102.558746,"Qiongxi Town, Hongyuan County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
14,33.583449,102.964382,"Ruoergai County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
15,34.05587,103.22175,"Diebu County, Gannan Tibetan Autonomous Prefecture, Gansu Province, China",10093966.1,3.08344E+12
20,31.676174,103.861656,"Fengyi Town, Mao County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China",10093966.1,3.08344E+12
261,36.654155,101.707238,生物记,10093966.1,3.08344E+12
262,37.3,102,"青海省互助县北山，(荆蓉, 和彭祚登, 2037)",10093966.1,3.08344E+12
262,33.16666667,104.0833333,"四川省九寨沟县南坪，(荆蓉, 和彭祚登, 2038)",10093966.1,3.08344E+12
262,31.38333333,103.25,"四川省理县，(荆蓉, 和彭祚登, 2039)",10093966.1,3.08344E+12
